geometry,fare_zone,line,name,name:ru,naptan:AtcoCode,network,operator,public_transport,railway,ref:crs,source_ref,station,subway,wheelchair,wikidata,wikipedia,network:website,network:wikidata,wheelchair:description,old_name,operator:wikidata,operator:website,toilets:wheelchair,alt_name,source,start_date,air_conditioning,baby_feeding,level,train,platforms,light_rail,public_transport:version,tram,source:name,wikimedia_commons,network:subway,network:train,source:network,ref:stanox,ref:tiploc,addr:street,electrified,name:fr,loc_name,name:da,name:zh,name:zh-Hans,name:zh-Hant,postal_code,check_date,internet_access,internet_access:fee,not:network:wikidata,addr:city,addr:postcode,name:he,note,name:ar,name:cs,name:de,name:en,name:fa,name:fi,name:gan,name:hu,name:it,name:ja,name:lmo,name:nl,name:no,name:pl,name:uk,name:ur,name:yi,name:yue,layer,owner,ref:crs:underground,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,survey:date,usage,tourism,website,operator:subway,operator:train,opening_hours,description,source_ref:network,toilets,addr:housename,name:bn,network:wikidata:Elizabeth line,network:wikidata:National_Rail,ref:crs:crossrail,check_date:wheelchair,ref,source:ref,network:wikidata:Elizabeth_Line,railway:ref,railway:ref:DB,name:et,iata,ref:crs:eurostar,uic_ref,website:departures,internet_access:ssid,name:wuu,airside,fixme,alt_name:ru,note:wheelchair,indoor,addr:suburb,toilets:access,railway:aws,railway:tpws,frequency,gauge,tfl_travelzone,url,voltage,departures_board,covered,location,addr:country,building:levels,internet_access:access,internet_access:operator,noaddress,not:addr:postcode,colour,source:building,name:el,ref:crs:overground,website:overground,website:tube,levels,opening_date,ref:STANOX,ref:nalco,source:alt_name,name:pa,name:pnb,ref:GB:uprn,wheelchair:note,phone,image,shelter,bicycle,entrance,entrance_marker:subway,comment,ref:GB:tfl_uid,access,bicycle:conditional,addr:housenumber,brand,brand:wikidata,brand:wikipedia,fhrs:id,shop,source:addr,destination,description:en,smoking,source:wheelchair,naptan:StopType,source:railway,barrier,foot,amenity,name:bg,exit,exit_to,door,highway,building,nohousenumber,roof:shape
POINT (-0.0712666 51.4176595),,,Crystal Palace,Кристал-Пэлас,9100CRYSTLP,National Rail;London Overground,London Overground,station,station,CYP,,,,limited,Q676281,en:Crystal Palace railway station,https://www.nationalrail.co.uk/stations/cyp/,Q26334,London Overground access from platform to train by manual boarding ramp.,Crystal Palace (Low Level),,,,,,,,,,yes,6,,,,,,,,,,,,,Gare de Crystal Palace,,,,,,,,,,,,,,,,,,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,,,,,,,,,,,,,Хрустальный дворец,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.23054 51.408966),,,Raynes Park,,9100RAYNSPK,National Rail,South Western Railway,station,station,RAY,,,,limited,Q2804062,en:Raynes Park railway station,https://www.nationalrail.co.uk/stations/ray/,Q26334,This station has step-free access to Platforms 1 and 2 (for trains towards London Waterloo) via long and steep ramps at up to 1:10 gradient. There is no step-free access to Platforms 3 and 4 (for trains towards Chessington South/ Kingston/ Surbiton).,,Q30602320,,,,,,,,,yes,,,,,,,,,,87271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.244985 51.3814192),,,Worcester Park,,9100WRCSTRP,National Rail,South Western Railway,station,station,WCP,,,,yes,Q2234958,en:Worcester Park railway station,https://www.nationalrail.co.uk/stations/wcp/,Q26334,,,,,yes,,NPE,,,,,yes,,,,,,,,National Rail,,87302,,,,,,,,,,,,,,,Worcester Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1663814 51.3685771),,,Carshalton,,9100CRSHLTN,National Rail,Govia Thameslink Railway (Southern),station,station,CSH,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,yes,Q3317733,en:Carshalton railway station,https://www.nationalrail.co.uk/stations/csh/,Q26334,Access from platform to train by manual boarding ramp,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0542215 51.427742),3,,Sydenham,,9100SYDENHM,National Rail;London Overground,London Overground,station,station,SYD,http://en.wikipedia.org/wiki/London_Overground#Stations,,,yes,Q2064910,en:Sydenham railway station (London),https://www.nationalrail.co.uk/stations/syd/,Q26334,,,,,,,NPE,,,,,yes,,,,,,,,,Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0530903 51.4392419),3,,Forest Hill,Форест-Хилл,9100FORESTH,National Rail;London Overground,London Overground,station,station,FOH,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,,,limited,Q2342584,en:Forest Hill railway station,,Q746021,Use the Devonshire Road entrance for both platforms. Access from platform to train by manual boarding ramp.,,Q682520,,,,,,,,,yes,,,,,,,,,Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0450199 51.4504605),,,Honor Oak Park,,9100HONROPK,National Rail;London Overground,London Overground,station,station,HPA,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,,,yes,Q5896843,en:Honor Oak Park railway station,https://www.nationalrail.co.uk/stations/hpa/,Q26334,Access from platform to train by manual boarding ramp.,,,,,,,,,,,yes,,,,,,,,,Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0404289 51.4752983),2,,New Cross Gate,,9100NEWXGTE,National Rail;London Overground,London Overground,station,station,NXG,http://en.wikipedia.org/wiki/London_Overground#Stations,,,limited,Q648558,en:New Cross Gate railway station,https://www.nationalrail.co.uk/stations/nxg/,Q26334,Step down from train to platform,,,,,,,,,,,yes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0326237 51.4763706),2,,New Cross,,9100NWCROSS,National Rail;London Overground,Southeastern,station,station,NWX,http://en.wikipedia.org/wiki/London_Overground#Stations,,,yes,Q801253,en:New Cross railway station,https://www.nationalrail.co.uk/stations/nwx/,Q26334,Access from platform to train by manual boarding ramp.,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/new-cross,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0221846 51.4690905),2,,St Johns,,9100STJOHNS,National Rail,Southeastern,station,station,SAJ,,,,no,Q7593815,en:St Johns railway station,https://www.nationalrail.co.uk/stations/saj/,Q26334,,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/st-johns-london,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
