geometry,fare_zone,line,name,name:ru,naptan:AtcoCode,network,operator,public_transport,railway,ref:crs,source_ref,station,subway,wheelchair,wikidata,wikipedia,network:website,network:wikidata,wheelchair:description,old_name,operator:wikidata,operator:website,toilets:wheelchair,alt_name,source,start_date,air_conditioning,baby_feeding,level,train,platforms,light_rail,public_transport:version,tram,source:name,wikimedia_commons,network:subway,network:train,source:network,ref:stanox,ref:tiploc,addr:street,electrified,name:fr,loc_name,name:da,name:zh,name:zh-Hans,name:zh-Hant,postal_code,check_date,internet_access,internet_access:fee,not:network:wikidata,addr:city,addr:postcode,name:he,note,name:ar,name:cs,name:de,name:en,name:fa,name:fi,name:gan,name:hu,name:it,name:ja,name:lmo,name:nl,name:no,name:pl,name:uk,name:ur,name:yi,name:yue,layer,owner,ref:crs:underground,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,survey:date,usage,tourism,website,operator:subway,operator:train,opening_hours,description,source_ref:network,toilets,addr:housename,name:bn,network:wikidata:Elizabeth line,network:wikidata:National_Rail,ref:crs:crossrail,check_date:wheelchair,ref,source:ref,network:wikidata:Elizabeth_Line,railway:ref,railway:ref:DB,name:et,iata,ref:crs:eurostar,uic_ref,website:departures,internet_access:ssid,name:wuu,airside,fixme,alt_name:ru,note:wheelchair,indoor,addr:suburb,toilets:access,railway:aws,railway:tpws,frequency,gauge,tfl_travelzone,url,voltage,departures_board,covered,location,addr:country,building:levels,internet_access:access,internet_access:operator,noaddress,not:addr:postcode,colour,source:building,name:el,ref:crs:overground,website:overground,website:tube,levels,opening_date,ref:STANOX,ref:nalco,source:alt_name,name:pa,name:pnb,ref:GB:uprn,wheelchair:note,phone,image,shelter,bicycle,entrance,entrance_marker:subway,comment,ref:GB:tfl_uid,access,bicycle:conditional,addr:housenumber,brand,brand:wikidata,brand:wikipedia,fhrs:id,shop,source:addr,destination,description:en,smoking,source:wheelchair,naptan:StopType,source:railway,barrier,foot,amenity,name:bg,exit,exit_to,door,highway,building,nohousenumber,roof:shape
POINT (-0.2263134 51.50607),2,Hammersmith & City;Circle,Shepherd's Bush Market,Шепердс-Буш-Маркет,9400ZZLUSBM,London Underground,London Underground,station,station,ZSB,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1857909,en:Shepherd's Bush Market tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4718293 51.5097364),6,,West Drayton,,9100WDRYTON,National Rail;Elizabeth line,Elizabeth line,station,station,WDT,http://en.wikipedia.org/wiki/List_of_London_railway tions,,,yes,Q2033143,en:West Drayton railway station,https://www.nationalrail.co.uk/stations/wdt/,Q26334,Access from platform to train by manual boarding ramp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.192318 51.6008355),4,Northern,Finchley Central,,9400ZZLUFYC,London Underground,London Underground,station,station,ZFC,,subway,yes,yes,Q1416721,en:Finchley Central tube station,,Q20075,,Finchley (Church End),Q682520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.1057186 51.394738),,,St Mary Cray,,9100STMRYC,National Rail,Southeastern,station,station,SMY,,,,no,Q2349500,en:St Mary Cray railway station,https://www.nationalrail.co.uk/stations/smy/,Q26334,,,Q108888230,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/st-mary-cray,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2488001 51.6126689),,,Mill Hill Broadway,,9100MLHB,National Rail,Govia Thameslink Railway (Thameslink),station,station,MIL,,,,no,Q2396825,en:Mill Hill Broadway railway station,https://www.nationalrail.co.uk/stations/mil/,Q26334,,,,,no,Mill Hill Broadway Rail Station,GPS waypoint,1868-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0261521 51.4444696),3,,Catford,,9100CATFORD,National Rail,Govia Thameslink Railway (Thameslink),station,station,CTF,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,yes,Q2401174,en:Catford railway station,https://www.nationalrail.co.uk/stations/ctf/,Q26334,,,,,,,survey,,no,no,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1558767 51.4922264),1,District;Circle,Sloane Square,Слоун-сквер,9400ZZLUSSQ,London Underground,London Underground,station,station,ZSO,,subway,yes,no,Q1530578,en:Sloane Square tube station,,Q20075,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0639692 51.5084776),,,Cyprus,,9400ZZDLCYP,Docklands Light Railway,,station,station,ZCQ,http://en.wikipedia.org/wiki/List_of_Docklands_Light_Railway_stations,light_rail,,yes,Q599724,en:Cyprus DLR station,,,,,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2052902 51.4220721),3,District,Wimbledon,Уимблдон,9100WIMBLDN,National Rail;London Underground;London Trams,South Western Railway,station,station,WIM,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q801616,en:Wimbledon station,https://www.nationalrail.co.uk/stations/wim/,Q26334,Step-free access street to platform,,Q30602320,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3592754 51.5575208),,,Northolt Park,,9100NTHOLTP,National Rail,Chiltern Railways,station,station,NLT,,,,limited,Q2799274,en:Northolt Park railway station,https://www.nationalrail.co.uk/stations/nlt/,Q26334,Flat access to both platforms. Please note that there is no flat access between platforms (access between platforms is via the footbridge). Flat access from one platform to another is via public footpaths and is a distance of roughly 500m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3631762 51.5851618),5,Metropolitan,North Harrow,,9400ZZLUNHA,London Underground,London Underground,station,station,ZNH,,subway,yes,no,Q645943,en:North Harrow tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3348748 51.5922178),5,Bakerloo,Harrow & Wealdstone,,9100HROW,London Underground;London Overground,London Underground,station,station,HRW,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,subway,yes,yes,Q800896,en:Harrow & Wealdstone station,https://www.nationalrail.co.uk/stations/hrw/,Q26334,,,,,,,,,,,,yes,,,,,,,London Underground,London Overground;National Rail,Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2887523 51.5174885),3,Piccadilly,North Ealing,,9400ZZLUNEN,London Underground,London Underground,station,station,ZNE,,subway,yes,no,Q1272075,en:North Ealing tube station,,,,,,,,,NPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4104614 51.5606573),5,Central,Ruislip Gardens,,9400ZZLURSG,London Underground,London Underground,station,station,ZRG,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1718915,en:Ruislip Gardens tube station,,Q20075,,,,,,,NPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3085107 51.5703076),4,Bakerloo,South Kenton,,9100SKENTON,London Underground;London Overground,London Underground,station,station,SOK,http://en.wikipedia.org/wiki/List_of_London_Underground_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,subway,yes,no,Q801454,en:South Kenton station,https://www.nationalrail.co.uk/stations/sok/,Q26334,,,,,,,NPE,,,,,yes,,,,,,,London Overground,London Overground,Sign,72009,SKENTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3038698 51.5624017),4,Bakerloo,North Wembley,,9100NWEMBLY,London Underground;London Overground,London Underground,station,station,NWB,http://en.wikipedia.org/wiki/List_of_London_Underground_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,subway,yes,no,Q730267,en:North Wembley station,https://www.nationalrail.co.uk/stations/nwb/,Q26334,,,,,,,NPE,,,,,,,,,,,,London Overground,London Overground,Sign,72010,NWEMBLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3361942 51.558533),,,Sudbury Hill Harrow,,9100SDBRYHH,National Rail,Chiltern Railways,station,station,SDH,,,,no,Q941324,en:Sudbury Hill Harrow railway station,https://www.nationalrail.co.uk/stations/sdh/,Q26334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1597188 51.4356228),3,Northern,Tooting Bec,Тутинг-Бек,9400ZZLUTBC,London Underground,London Underground,station,station,ZTB,,subway,yes,no,Q1424421,en:Tooting Bec tube station,,Q20075,,,Q682520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1296388 51.4653034),2,Northern,Clapham North,Клэпхем-Норт,9400ZZLUCPN,London Underground,London Underground,station,station,ZCN,,subway,yes,no,Q1095082,en:Clapham North tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1123953 51.4818339),2,Northern,Oval,Овал,9400ZZLUOVL,London Underground,London Underground,station,station,ZOV,,subway,yes,no,Q426804,en:Oval tube station,,Q20075,,,,,,,,,,,,,,,,,,Category:Oval tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1058829 51.4882861),1;2,Northern,Kennington,Кеннингтон,9400ZZLUKNG,London Underground,London Underground,station,station,ZKE,http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,no,Q1738951,en:Kennington tube station,,Q20075,Cross-platform interchange in same direction only. No entry or exit.,,Q682520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.074968 51.5452841),,,Dalston Junction,,9100DALS,London Overground,London Overground,station,station,DLJ,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,,,yes,Q800651,en:Dalston Junction railway station,https://www.nationalrail.co.uk/stations/dlj/,Q746021,"Wide gates, lift down to all plaforms, Radar key operated wheelchair accessible toilet near lift at ticket hall level. Step-free from platform to train.",,Q682520,,,,,,,,,yes,4,,,,,,,,,,,Dalston Lane,rail,Gare de Dalston Junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0883292 51.4541783),,,North Dulwich,Норт-Далвич,9100NDULWCH,National Rail,Govia Thameslink Railway (Southern),station,station,NDL,,,,no,Q2105973,en:North Dulwich railway station,https://www.nationalrail.co.uk/stations/ndl/,Q26334,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0237594 51.5815237),,,Walthamstow Queen's Road,,9100WLTHQRD,London Overground,London Overground,station,station,WMW,http://en.wikipedia.org/wiki/London_Overground#Stations,,,yes,Q2546520,en:Walthamstow Queen's Road railway station,https://www.nationalrail.co.uk/stations/wmw/,Q746021,Access from platform to train by manual boarding ramp.,Walthamstow,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1345942 51.4992816),1,District;Circle,St. James's Park,Сент-Джеймс Парк,9400ZZLUSJP,London Underground,London Underground,station,station,ZSS,,subway,yes,no,Q1567095,en:St James's Park tube station,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,Saint James Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1249302 51.5013562),1,District;Circle;Jubilee,Westminster,Вестминстер,9400ZZLUWSM,London Underground,London Underground,station,station,ZWM,,subway,yes,yes,Q1135834,en:Westminster tube station,,,Lifts link all platforms on Jubilee and Circle/District lines. (photos to follow),,,,,,,,,,,,,,,,,Category:Westminster tube station,,,,,,,,,,Westminster Station,威斯敏斯特,威斯敏斯特,西敏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.134245 51.3220643),,,Coulsdon Town,,9100SMITHAM,National Rail,Govia Thameslink Railway (Southern),station,station,CDN,,,,yes,Q2136840,en:Coulsdon Town railway station,https://www.nationalrail.co.uk/stations/cdn/,Q26334,,Smitham,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1538819 51.3190513),,,Woodmansterne,,9100WDMNSTR,National Rail,Govia Thameslink Railway (Southern),station,station,WME,,,,no,Q2737664,en:Woodmansterne railway station,https://www.nationalrail.co.uk/stations/wme/,Q26334,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1234118 51.3311273),,,Reedham,,9100REEDHMS,National Rail,Govia Thameslink Railway (Southern),station,station,RHM,,,,limited,Q1972220,en:Reedham railway station (London),https://www.nationalrail.co.uk/stations/rhm/,Q26334,Level access to platform 2 (to Tattenham Corner). Steps to platform 1 (to London).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CR8 4DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1147325 51.4626818),2,Victoria,Brixton,Брикстон,940GZZLUBXN,London Underground,London Underground,station,station,,,subway,yes,yes,Q117586,en:Brixton tube station,,Q20075,,,,,,,,,,,,,2,,,,,Category:Brixton tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1988601 51.389451),,,St. Helier,,9100SHLIER,National Rail,Govia Thameslink Railway (Thameslink),station,station,SIH,,,,no,Q2217526,en:St Helier railway station,https://www.nationalrail.co.uk/stations/sih/,Q26334,,,,,,,,,,,,yes,,,,,,,,,,,,,,Saint-Hélier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1961049 51.3754313),,,Sutton Common,,9100SUTTONC,National Rail,Govia Thameslink Railway (Thameslink),station,station,SUC,,,,no,Q2482182,en:Sutton Common railway station,https://www.nationalrail.co.uk/stations/suc/,Q26334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0416453 51.5867174),3,Victoria,Blackhorse Road,Блэкхорс-роуд,9100BLCHSRD,London Underground;London Overground,London Underground,station,station,BHO,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,subway,yes,limited,Q800541,en:Blackhorse Road station,https://www.nationalrail.co.uk/stations/bho/,Q26334,London Overground only. Access from platform to train by manual boarding ramp.,,,,,,local knowledge,,,,,,4,,,,,,London Overground,London Overground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.1826107 51.5747271),6,,Romford,,9100ROMFORD,National Rail;London Overground;Elizabeth line,Elizabeth line,station,station,RMF,,,,yes,Q2299776,en:Romford railway station,https://www.nationalrail.co.uk/stations/romford/,Q26334,Access from platform to train by manual boarding ramp.,,Q682520,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,2024-11-13,wlan,no,Q746021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1475523 51.4528372),2;3,Northern,Clapham South,Клэпхем-Саут,9400ZZLUCPS,London Underground,London Underground,station,station,ZCA,,subway,yes,no,Q1095083,en:Clapham South tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1528977 51.4433857),3,Northern,Balham,,940GZZLUBLM,London Underground,London Underground,station,station,,,subway,yes,no,Q579345,en:Balham station,https://www.nationalrail.co.uk/stations/bal/,Q20075,"LU station not accessible. However, NR station is step-free to platform via the LU entrance.",,Q682520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q111297173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1682905 51.4277387),3,Northern,Tooting Broadway,Тутинг-Бродвей,9400ZZLUTBY,London Underground,London Underground,station,station,ZTO,,subway,yes,no,Q685100,en:Tooting Broadway tube station,,Q111297173,,,Q20075,,,,,,no,,,yes,,,,,,,,,,,,,,,,,,,,,,wlan,no,Q746021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1778626 51.4182747),3,Northern,Colliers Wood,,9400ZZLUCSD,London Underground,London Underground,station,station,ZCL,,subway,yes,no,Q1109527,en:Colliers Wood tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1926457 51.4151759),3;4,Northern,South Wimbledon,,9400ZZLUSWN,London Underground,London Underground,station,station,ZSI,,subway,yes,no,Q1974760,en:South Wimbledon tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,Morden Road,,,,,,,,,,yes,,Q111297173,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0454097 51.5763203),4,Central,Redbridge,,9400ZZLURBG,London Underground,London Underground,station,station,ZRE,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1974732,en:Redbridge tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3039992 51.3924111),,,Surbiton,,9100SURBITN,National Rail,South Western Railway,station,station,SUR,,,,yes,Q2526353,en:Surbiton railway station,https://www.nationalrail.co.uk/stations/sur/,Q26334,,,Q30602320,,,,,,,no,,yes,,,,,,File:Surbiton station.jpg,,,,,,Victoria Road,,,,,,,,,,no,,,Surbiton,KT6 4PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2396076 51.3948747),,,Motspur Park,,9100MOTSPRP,National Rail,South Western Railway,station,station,MOT,,,,no,Q2303311,en:Motspur Park railway station,https://www.nationalrail.co.uk/stations/mot/,Q26334,,,,,no,,,,,,,yes,,,,,,,,National Rail,,87301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
